question_id,res
0,incorrect
1,incorrect
2,incorrect
3,correct
4,incorrect
5,correct
6,correct
7,correct
8,correct
9,incorrect
10,correct
11,correct
12,incorrect
13,incorrect
14,incorrect
15,correct
16,incorrect
17,incorrect
18,correct
19,correct
20,incorrect
21,correct
22,incorrect
23,correct
24,incorrect
25,incorrect
26,incorrect
27,incorrect
28,incorrect
29,correct
30,incorrect
31,incorrect
32,incorrect
33,incorrect
34,incorrect
35,correct
36,correct
37,incorrect
38,incorrect
39,incorrect
40,incorrect
41,incorrect
42,correct
43,incorrect
44,correct
45,correct
46,incorrect
47,incorrect
48,incorrect
49,incorrect
50,incorrect
51,incorrect
52,correct
53,incorrect
54,correct
55,incorrect
56,incorrect
57,correct
58,incorrect
59,correct
60,correct
61,correct
62,correct
63,incorrect
64,correct
65,incorrect
66,incorrect
67,incorrect
68,correct
69,correct
70,incorrect
71,incorrect
72,incorrect
73,incorrect
74,incorrect
75,correct
76,incorrect
77,incorrect
78,correct
79,correct
80,incorrect
81,incorrect
82,incorrect
83,correct
84,incorrect
85,incorrect
86,incorrect
87,incorrect
88,correct
89,correct
