question_id,res
0,correct
1,incorrect
2,correct
3,correct
4,incorrect
5,correct
6,correct
7,correct
8,correct
9,correct
10,correct
11,correct
12,incorrect
13,correct
14,correct
15,incorrect
16,incorrect
17,incorrect
18,correct
19,correct
20,correct
21,correct
22,incorrect
23,correct
24,correct
25,incorrect
26,incorrect
27,incorrect
28,incorrect
29,correct
30,incorrect
31,correct
32,correct
33,incorrect
34,correct
35,correct
36,incorrect
37,incorrect
38,correct
39,correct
40,incorrect
41,incorrect
42,correct
43,incorrect
44,correct
45,correct
46,correct
47,correct
48,correct
49,incorrect
50,correct
51,incorrect
52,correct
53,incorrect
54,correct
55,correct
56,correct
57,correct
58,correct
59,correct
60,correct
61,correct
62,correct
63,incorrect
64,correct
65,incorrect
66,correct
67,correct
68,correct
69,correct
70,correct
71,incorrect
72,correct
73,correct
74,correct
75,correct
76,correct
77,incorrect
78,correct
79,correct
80,incorrect
81,correct
82,incorrect
83,correct
84,incorrect
85,incorrect
86,incorrect
87,incorrect
88,correct
89,correct
90,correct
91,correct
92,correct
93,correct
94,incorrect
95,incorrect
96,correct
97,correct
98,incorrect
99,incorrect
100,correct
101,incorrect
102,incorrect
103,correct
104,correct
105,correct
106,correct
107,correct
108,incorrect
109,correct
110,incorrect
111,correct
112,correct
113,correct
114,correct
115,correct
116,incorrect
117,correct
118,incorrect
119,correct
120,correct
121,correct
122,correct
123,correct
124,incorrect
125,incorrect
126,correct
127,correct
128,correct
129,incorrect
130,incorrect
131,incorrect
132,correct
133,incorrect
134,correct
135,incorrect
136,incorrect
137,incorrect
138,incorrect
139,correct
140,correct
141,incorrect
142,incorrect
143,correct
144,incorrect
145,incorrect
146,correct
147,incorrect
148,correct
149,correct
150,incorrect
151,correct
152,correct
153,correct
154,correct
155,correct
156,incorrect
157,correct
158,correct
159,incorrect
160,correct
161,correct
162,correct
163,incorrect
164,correct
165,incorrect
166,correct
167,correct
168,incorrect
169,incorrect
170,correct
171,incorrect
172,incorrect
173,incorrect
174,incorrect
175,correct
176,correct
177,correct
178,correct
179,correct
180,incorrect
181,correct
182,incorrect
183,correct
184,correct
185,incorrect
186,incorrect
187,correct
188,incorrect
189,incorrect
190,correct
191,correct
192,correct
193,incorrect
194,correct
195,correct
196,correct
197,incorrect
198,incorrect
199,correct
200,correct
201,incorrect
202,correct
203,correct
204,correct
205,correct
206,correct
207,incorrect
208,correct
209,correct
210,correct
211,incorrect
212,correct
213,correct
214,incorrect
215,incorrect
216,correct
217,incorrect
218,incorrect
219,incorrect
220,incorrect
221,incorrect
222,correct
223,incorrect
224,incorrect
225,correct
226,correct
227,correct
228,correct
229,correct
230,correct
231,incorrect
232,correct
233,correct
234,incorrect
235,correct
236,correct
237,incorrect
238,correct
239,correct
240,correct
241,correct
242,correct
243,correct
244,correct
245,incorrect
246,correct
247,incorrect
248,correct
249,incorrect
250,correct
251,incorrect
252,incorrect
253,incorrect
254,incorrect
255,correct
256,correct
257,correct
258,correct
259,correct
260,correct
261,correct
262,correct
263,incorrect
264,incorrect
265,correct
266,correct
267,incorrect
268,incorrect
269,incorrect
270,incorrect
271,incorrect
272,correct
273,incorrect
274,correct
275,correct
276,correct
277,incorrect
278,correct
279,correct
280,correct
281,incorrect
282,correct
283,correct
284,correct
285,incorrect
286,incorrect
287,correct
288,correct
289,correct
290,correct
291,correct
292,correct
293,correct
294,correct
295,correct
296,incorrect
297,correct
298,incorrect
299,correct
300,correct
301,correct
302,correct
303,correct
304,correct
305,correct
306,incorrect
307,incorrect
308,correct
309,incorrect
310,correct
311,incorrect
312,correct
313,correct
314,correct
315,correct
316,correct
317,incorrect
318,correct
319,correct
320,correct
321,correct
322,correct
323,correct
324,incorrect
325,correct
326,correct
327,correct
328,incorrect
329,correct
330,incorrect
331,correct
332,correct
333,correct
334,correct
335,incorrect
336,correct
337,correct
338,incorrect
339,correct
340,incorrect
341,incorrect
342,incorrect
343,incorrect
344,incorrect
345,correct
346,correct
347,incorrect
348,correct
349,incorrect
350,correct
351,correct
352,incorrect
353,correct
354,incorrect
355,correct
356,correct
357,incorrect
358,correct
359,incorrect
360,incorrect
361,incorrect
362,correct
363,incorrect
364,correct
365,correct
366,correct
367,correct
368,correct
369,correct
370,correct
371,correct
372,correct
373,correct
374,correct
375,correct
376,incorrect
377,incorrect
378,correct
379,correct
380,correct
381,correct
382,correct
383,correct
384,incorrect
385,correct
386,incorrect
387,incorrect
388,incorrect
389,incorrect
390,correct
391,correct
392,incorrect
393,incorrect
394,correct
395,correct
396,correct
397,correct
398,incorrect
399,incorrect
400,correct
401,correct
402,incorrect
403,incorrect
404,correct
405,incorrect
406,incorrect
407,correct
408,incorrect
409,correct
410,correct
411,incorrect
412,incorrect
413,incorrect
414,correct
415,incorrect
416,correct
417,incorrect
418,correct
419,correct
420,correct
421,correct
422,correct
423,incorrect
424,incorrect
425,incorrect
426,correct
427,correct
428,incorrect
429,incorrect
430,incorrect
431,incorrect
432,incorrect
433,incorrect
434,correct
435,incorrect
436,incorrect
437,incorrect
438,correct
439,correct
440,correct
441,incorrect
442,incorrect
443,incorrect
444,incorrect
445,incorrect
446,incorrect
447,incorrect
448,incorrect
449,correct
450,correct
451,correct
452,correct
453,incorrect
