question_id,res
0,incorrect
1,incorrect
2,incorrect
3,incorrect
4,incorrect
5,incorrect
6,incorrect
7,correct
8,incorrect
9,incorrect
10,correct
11,correct
12,incorrect
13,incorrect
14,correct
15,incorrect
16,incorrect
17,incorrect
18,incorrect
19,correct
20,incorrect
21,incorrect
22,incorrect
23,incorrect
24,incorrect
25,incorrect
26,incorrect
27,incorrect
28,incorrect
29,incorrect
30,incorrect
31,incorrect
32,incorrect
33,incorrect
34,incorrect
35,correct
36,incorrect
37,incorrect
38,incorrect
39,incorrect
40,incorrect
41,incorrect
42,correct
43,incorrect
44,correct
45,incorrect
46,incorrect
47,incorrect
48,incorrect
49,incorrect
50,incorrect
51,incorrect
52,incorrect
53,incorrect
54,incorrect
55,incorrect
56,incorrect
57,correct
58,correct
59,incorrect
60,incorrect
61,incorrect
62,incorrect
63,incorrect
64,incorrect
65,incorrect
66,incorrect
67,incorrect
68,correct
69,correct
70,incorrect
71,incorrect
72,incorrect
73,incorrect
74,incorrect
75,incorrect
76,incorrect
77,incorrect
78,incorrect
79,incorrect
80,correct
81,incorrect
82,incorrect
83,incorrect
84,incorrect
85,incorrect
86,incorrect
87,incorrect
88,correct
89,incorrect
90,incorrect
91,incorrect
92,incorrect
93,incorrect
94,incorrect
95,incorrect
96,correct
97,incorrect
98,correct
99,incorrect
100,incorrect
101,correct
102,correct
103,incorrect
104,incorrect
105,correct
106,correct
107,correct
108,incorrect
109,incorrect
110,incorrect
111,incorrect
112,correct
113,correct
114,incorrect
115,incorrect
116,correct
117,incorrect
118,correct
119,correct
120,incorrect
121,incorrect
122,correct
123,correct
124,incorrect
125,incorrect
126,incorrect
127,correct
128,incorrect
129,incorrect
130,incorrect
131,correct
132,incorrect
133,correct
134,correct
135,correct
136,incorrect
137,incorrect
138,correct
139,incorrect
140,incorrect
141,incorrect
142,incorrect
143,incorrect
144,incorrect
145,incorrect
146,correct
147,incorrect
148,incorrect
149,incorrect
150,incorrect
151,correct
152,correct
153,incorrect
154,incorrect
155,incorrect
156,incorrect
157,correct
158,incorrect
159,incorrect
160,correct
161,correct
162,correct
163,correct
164,incorrect
165,correct
166,incorrect
167,incorrect
168,incorrect
169,incorrect
170,correct
171,incorrect
172,correct
173,incorrect
174,incorrect
175,incorrect
176,incorrect
177,incorrect
178,correct
179,correct
180,incorrect
181,incorrect
182,incorrect
183,incorrect
184,incorrect
185,incorrect
186,incorrect
187,incorrect
188,correct
189,incorrect
190,incorrect
191,correct
192,incorrect
193,incorrect
194,incorrect
195,correct
196,incorrect
197,incorrect
198,incorrect
199,incorrect
200,correct
201,incorrect
202,correct
203,incorrect
204,correct
205,incorrect
206,correct
207,incorrect
208,incorrect
209,incorrect
210,correct
211,incorrect
212,correct
213,correct
214,incorrect
215,incorrect
216,correct
217,incorrect
